ID,Name,alpha_min,err_alpha_min,Pmin,errPmin,a0,err_a0,h,err_h,refractive_index,k,Bus
59,Elpis,8.69,0.99,-1.141,0.283,18.88,0.19,0.206,0.0182,1.709,10.877,B
63,Ausonia,6.09,1.23,-0.849,0.349,18.65,0.44,0.0918,0.0147,1.678,25.512,Sa
64,Angelina,5.69,0.53,-0.349,0.06,18.66,1.14,0.035,0.0031,1.677,29.788,Xe
69,Hesperia,9.47,0.84,-0.964,0.186,20.42,0.25,0.1632,0.0111,1.772,9.846,X
71,Niobe,4.97,0.65,-0.531,0.109,16.51,0.67,0.0593,0.004,1.595,34.779,Xe
77,Frigga,7.77,1.25,-1.401,0.483,22.09,0.28,0.1406,0.0237,1.814,18.162,Xe
78,Diana,10.15,0.93,-1.684,0.345,21.82,0.15,0.2681,0.0182,1.829,9.142,Ch
84,Klio,9.75,0.89,-1.519,0.297,20.83,0.16,0.256,0.0184,1.79,9.413,Ch
85,Io,8.99,1.24,-1.245,0.363,19.07,0.17,0.2322,0.0253,1.72,10.079,B
88,Thisbe,8.59,0.9,-1.404,0.325,18.95,0.16,0.2451,0.0195,1.709,11.297,B
97,Klotho,10.25,0.89,-1.269,0.238,22.23,0.2,0.1951,0.0134,1.844,9.192,X
102,Miriam,9.57,1.01,-1.384,0.313,20.76,0.18,0.2282,0.0194,1.784,9.851,C
105,Artemis,9.58,0.49,-1.556,0.174,20.47,0.15,0.2673,0.0104,1.775,9.578,Ch
113,Amalthea,7.41,1.52,-0.548,0.26,19.06,0.54,0.0737,0.0136,1.7,16.601,S
115,Thyra,8.63,0.89,-0.701,0.175,20.85,0.42,0.0952,0.0082,1.775,13.001,S
125,Liberatrix,9.35,1.26,-0.842,0.272,20.34,0.28,0.1408,0.0139,1.767,10.129,X
128,Nemesis,8.98,0.55,-1.502,0.202,19.73,0.16,0.2543,0.0118,1.741,10.728,C
129,Antigone,7.77,0.89,-0.861,0.22,21.07,0.41,0.0969,0.011,1.776,17.049,X
131,Vala,9.25,1.47,-0.462,0.161,19.87,0.5,0.0807,0.0102,1.75,10.017,Xc
132,Aethra,7.06,0.29,-1.113,0.123,19.71,0.31,0.1283,0.0047,1.721,19.53,Xe
138,Tolosa,8.01,0.79,-0.53,0.152,18.71,0.47,0.0849,0.0067,1.694,13.295,S
139,Juewa,9.05,0.71,-1.199,0.203,19.6,0.19,0.2098,0.0129,1.738,10.383,X
140,Siwa,10.27,0.89,-1.4,0.274,22.71,0.2,0.2038,0.0151,1.86,9.485,Xc
141,Lumen,9.86,0.87,-1.725,0.332,21.02,0.14,0.2897,0.0203,1.798,9.272,Ch
142,Polana,6.67,1.13,-1.215,0.476,16.8,0.21,0.1919,0.0313,1.614,17.891,B
161,Athor,6.8,0.44,-1.189,0.187,18.89,0.28,0.144,0.0085,1.69,20.142,Xc
165,Loreley,7.26,1.86,-1.3,0.73,18.9,0.23,0.173,0.0421,1.693,17.25,Cb
